StateWellNumber,County,RiverBasin,GridNumber,MajorMinorAquifer,LatitudeDD,LongitudeDD,Date,WaterLevel,WaterElevation
148902,Dallam,Canadian,1489,Ogallala,36.2513889,-103.0041667,2/9/2022,204.62,4326.38
164301,Dallam,Canadian,1643,Ogallala,36.1197222,-103.0011111,2/10/2022,264.85,4174.15
233604,Dallam,Canadian,2336,Ogallala,36.439722,-102.890834,2/8/2022,196.45,4339.55
235404,Dallam,Canadian,2354,Ogallala,36.446667,-102.739445,1/31/2022,230.1,4080.9
235803,Dallam,Canadian,2358,Ogallala,36.388889,-102.700001,2/18/2022,255.9,4080.1
236903,Dallam,Canadian,2369,Ogallala,36.4111111,-102.5402778,2/18/2022,138.2,3996.8
239902,Sherman,Canadian,2399,Ogallala,36.3841667,-102.1338889,2/16/2022,345.15,3406.85
240403,Sherman,Canadian,2404,Ogallala,36.443889,-102.098611,2/16/2022,358.85,3375.15
240405,Sherman,Canadian,2404,Ogallala,36.429722,-102.116389,2/16/2022,358.9,3385.1
240601,Sherman,Canadian,2406,Ogallala,36.4402778,-102.0266667,2/16/2022,296.95,3333.05
241304,Dallam,Canadian,2413,Ogallala,36.345,-102.8825,2/8/2022,81.35,4317.65
241305,Dallam,Canadian,2413,Ogallala,36.359723,-102.891945,2/8/2022,266,4156
242903,Dallam,Canadian,2429,Ogallala,36.279167,-102.759167,2/22/2022,262.9,4003.1
244601,Dallam,Canadian,2446,Ogallala,36.321944,-102.525278,2/22/2022,187.4,3904.6
245301,Dallam,Canadian,2453,Ogallala,36.370833,-102.393889,2/16/2022,311.57,3643.43
246102,Dallam,Canadian,2461,Ogallala,36.3416667,-102.3563889,2/16/2022,332.51,3596.49
247603,Sherman,Canadian,2476,Ogallala,36.312778,-102.146389,2/16/2022,356.2,3377.8
248102,Sherman,Canadian,2481,Ogallala,36.370278,-102.109167,2/16/2022,346.7,3359.3
248213,Sherman,Canadian,2482,Ogallala,36.338611,-102.064723,2/16/2022,320,3369
248901,Sherman,Canadian,2489,Ogallala,36.284722,-102.016944,1/31/2022,324.71,3307.29
249201,Dallam,Canadian,2492,Ogallala,36.241389,-102.932778,2/9/2022,252.8,4179.2
249801,Dallam,Canadian,2498,Ogallala,36.148611,-102.941111,2/10/2022,284.68,4091.32
250701,Dallam,Canadian,2507,Ogallala,36.160556,-102.850556,2/14/2022,311.13,4018.87
251501,Dallam,Canadian,2515,Ogallala,36.168889,-102.698334,2/14/2022,400.53,3779.47
252301,Dallam,Canadian,2523,Ogallala,36.231111,-102.512223,2/8/2022,375.8,3688.2
252601,Dallam,Canadian,2526,Ogallala,36.205556,-102.522222,2/8/2022,410.73,3669.27
252801,Dallam,Canadian,2528,Ogallala,36.156389,-102.582222,2/8/2022,414.46,3666.54
253601,Dallam,Canadian,2536,Ogallala,36.197222,-102.396111,2/16/2022,322.21,3640.79
253901,Dallam,Canadian,2539,Ogallala,36.137222,-102.409445,2/16/2022,428.95,3551.05
254701,Dallam,Canadian,2547,Ogallala,36.146945,-102.358056,2/10/2022,486.9,3455.1
255301,Sherman,Canadian,2553,Ogallala,36.241389,-102.133055,1/31/2022,342.48,3379.52
255802,Dallam,Canadian,2558,Ogallala,36.127222,-102.186945,2/16/2022,397.97,3379.03
255903,Sherman,Canadian,2559,Ogallala,36.1538889,-102.1336111,1/31/2022,328.24,3384.76
256601,Sherman,Canadian,2566,Ogallala,36.1975,-102.007778,1/31/2022,287.59,3308.41
257307,Dallam,Canadian,2573,Ogallala,36.083889,-102.902223,2/14/2022,365.53,3931.47
257501,Dallam,Canadian,2575,Ogallala,36.082778,-102.956389,2/14/2022,238.58,4124.42
257606,Hartley,Canadian,2576,Ogallala,36.0461111,-102.91,2/18/2022,367.67,3952.33
258102,Dallam,Canadian,2581,Ogallala,36.086389,-102.860278,2/14/2022,324.88,3950.12
258701,Hartley,Canadian,2587,Ogallala,36.0294444,-102.8463889,2/18/2022,443.52,3793.48
258803,Hartley,Canadian,2588,Ogallala,36.0225,-102.8158333,2/18/2022,392.12,3821.88
259201,Dallam,Canadian,2592,Ogallala,36.112501,-102.67,2/8/2022,415.88,3696.12
259403,Hartley,Canadian,2594,Ogallala,36.044722,-102.742778,2/22/2022,371.43,3788.57
259802,Hartley,Canadian,2598,Ogallala,36.0077778,-102.6738889,2/22/2022,262.54,3816.46
260303,Dallam,Canadian,2603,Ogallala,36.1241667,-102.5086111,1/1/2022,417.86,3591.14
260303,Dallam,Canadian,2603,Ogallala,36.1241667,-102.5086111,1/2/2022,417.76,3591.24
260303,Dallam,Canadian,2603,Ogallala,36.1241667,-102.5086111,1/3/2022,417.84,3591.16
260303,Dallam,Canadian,2603,Ogallala,36.1241667,-102.5086111,1/4/2022,417.88,3591.12
260303,Dallam,Canadian,2603,Ogallala,36.1241667,-102.5086111,1/5/2022,417.87,3591.13
260303,Dallam,Canadian,2603,Ogallala,36.1241667,-102.5086111,1/6/2022,417.81,3591.19
260303,Dallam,Canadian,2603,Ogallala,36.1241667,-102.5086111,1/7/2022,417.85,3591.15
260303,Dallam,Canadian,2603,Ogallala,36.1241667,-102.5086111,1/8/2022,417.93,3591.07
